depth,magnitude_a,time,latitude,longitude
56.2,5.2,19860920120457.6, 36286 , 140394 
498.2,5.3,1986092021241.1, 30324 , 138110 
33,5,19860924210423.3, 28134 , 140539 
39,5.1,19860928043842.1, 28016 , 142427 
10,5.2,19861001163246.4, 44380 , 149563 
411.5,5.3,19861007204054.3, 31583 , 137565 
127,5.1,19861011060355.3, 20110 , 122160 
52.8,5.7,19861014061749.3, 37041 , 141131 
0,5.5,1986101718392.4, 45123 , 149379 
204.5,5.1,1986110322524.1, 28250 , 128105 
11.2,5.5,1986111321448.1, 43483 , 141507 
33,6.2,1986111506204.6, 23578 , 121493 
33,5.3,19861115073422.5, 24024 , 121597 
33,6.1,19861115080436.6, 23528 , 121490 
33,5,19861115082923.3, 23599 , 121505 
33,5.4,19861115091742.8, 23527 , 121482 
33,5.1,1986111510002, 23565 , 121528 
33,5,19861115122459.8, 23374 , 121488 
43.3,5.1,19861115150643.8, 36239 , 140555 
33,5.5,1986111516247.7, 23489 , 121403 
33,5,19861117032432.9, 27236 , 129378 
33,5.1,19861118174914, 24020 , 121451 
46,5,19861119090652.4, 29583 , 131211 
47,5.4,19861119093519.3, 30078 , 131192 
0,5.1,19861121170946, 34420 , 139161 
9.1,5.1,19861121171241.6, 34448 , 139187 
15.1,6,19861122094144.7, 34330 , 139313 
44.3,5.2,19861127122857, 42141 , 144472 
42.3,5.8,19861129072935.4, 36237 , 141106 
33,5,19861130120350.9, 23577 , 121581 
